weight;time;mutation;popsize;index
4285;180;2;20;0
4466;180;2;20;1
4221;180;2;20;2
4363;180;2;20;3
4237;180;2;20;4
4009;180;2;20;5
3925;180;2;20;6
4007;180;2;20;7
4183;180;2;20;8
4225;180;2;20;9
7241;180;2;100;0
7883;180;2;100;1
7954;180;2;100;2
7901;180;2;100;3
8684;180;2;100;4
8121;180;2;100;5
7930;180;2;100;6
8010;180;2;100;7
8273;180;2;100;8
7500;180;2;100;9
12308;180;2;1000;0
12267;180;2;1000;1
12915;180;2;1000;2
12357;180;2;1000;3
12781;180;2;1000;4
12411;180;2;1000;5
13354;180;2;1000;6
12972;180;2;1000;7
13151;180;2;1000;8
12980;180;2;1000;9
