weight;time;mutation;popsize;index
3149;240;2;20;0
3181;240;2;20;1
3212;240;2;20;2
3331;240;2;20;3
3297;240;2;20;4
3282;240;2;20;5
3189;240;2;20;6
3253;240;2;20;7
3266;240;2;20;8
3337;240;2;20;9
4514;240;2;100;0
4367;240;2;100;1
4504;240;2;100;2
4503;240;2;100;3
4511;240;2;100;4
4427;240;2;100;5
4418;240;2;100;6
4414;240;2;100;7
4388;240;2;100;8
4350;240;2;100;9
5503;240;2;1000;0
5381;240;2;1000;1
5344;240;2;1000;2
5495;240;2;1000;3
5664;240;2;1000;4
5447;240;2;1000;5
5424;240;2;1000;6
5339;240;2;1000;7
5395;240;2;1000;8
5325;240;2;1000;9
